 Protocol, Flow Duration,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd Packets/s, Bwd Packets/s,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward, Label
6,5051437,2.375561647,0.791853882,1683812.333,2886329.739,5016600,268,5051437,2525718.5,3522638.4,5016600,34837,0,0,0,0,0,0.593890412,0.197963471,29200,29200,2,20,BENIGN
6,5056472,88.2037911,1.977663478,561830.2222,1636256.123,4924779,22,5056472,842745.3333,2031945.658,4990343,49,101639,50819.5,29373.9228,71590,30049,1.384364434,0.593299043,29200,30,3,32,BENIGN
6,5093159,0,0.785367195,1697719.667,2919966.446,5069379,98,5093159,2546579.5,3567777.268,5069379,23780,0,0,0,0,0,0.589025397,0.196341799,29200,14480,0,32,BENIGN
6,5056713,2.373083068,0.791027689,1685571,2889257.97,5021738,54,5056713,2528356.5,3526173.933,5021738,34975,0,0,0,0,0,0.593270767,0.197756922,29200,29200,2,20,BENIGN
6,5074765,2.364641515,0.788213838,1691588.333,2916870.285,5059689,76,5074765,2537382.5,3567080.061,5059689,15076,0,0,0,0,0,0.591160379,0.19705346,29200,29200,2,20,BENIGN
6,5122432,2.342637247,0.780879082,1707477.333,2940347.211,5102679,81,5122432,2561216,3594171.443,5102679,19753,0,0,0,0,0,0.585659312,0.195219771,29200,29200,2,20,BENIGN
6,5549725,30.45195933,1.081134651,1109945,2456871.109,5504847,4,5549725,1387431.25,2744989.199,5504847,4,0,0,0,0,0,0.900945542,0.180189108,307,349,2,32,BENIGN
6,227,1092511.013,13215.85903,113.5,159.0990258,226,1,227,113.5,159.0990258,226,1,0,0,0,0,0,13215.85903,0,30,-1,2,32,BENIGN
6,11925,1006.289308,167.7148847,11925,0,11925,11925,11925,11925,0,11925,11925,0,0,0,0,0,167.7148847,0,29,-1,1,20,BENIGN
6,3,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,349,-1,0,32,BENIGN
6,6070779,772.0590718,1.811958564,607077.9,1891997.651,5991651,48,6070779,1214155.8,2670765.955,5991651,69,44603,11150.75,17885.77564,37646,242,0.988341035,0.823617529,29200,13140,5,20,BENIGN
6,5795329,0,0.69021103,1931776.333,3318151.315,5763203,81,5795329,2897664.5,4052483.41,5763203,32126,0,0,0,0,0,0.517658273,0.172552758,29200,26544,0,32,BENIGN
6,5345929,0,0.748232908,1781976.333,3051695.78,5305695,62,5345929,2672964.5,3723243.179,5305695,40234,0,0,0,0,0,0.561174681,0.187058227,29200,28960,0,32,BENIGN
6,6033612,0,0.662952805,2011204,3455014.62,6000666,19,6033612,3016806,4219815.28,6000666,32946,0,0,0,0,0,0.497214604,0.165738201,29200,26544,0,32,BENIGN
6,6057424,1075.209528,2.31121348,465955.6923,1611298.202,5826663,1,6057424,1009570.667,2361090.727,5826663,1,195367,32561.16667,63728.63689,159325,1,1.15560674,1.15560674,29200,13140,6,20,BENIGN
6,5792504,0,0.690547646,1930834.667,3331017.21,5777152,68,5792504,2896252,4074207.852,5777152,15352,0,0,0,0,0,0.517910734,0.172636911,29200,28960,0,32,BENIGN
6,6070089,1067.36491,2.471133455,433577.7857,1556024.263,5837761,1,6070089,867155.5714,2192988.05,5837761,2,197873,32978.83333,64174.63717,160415,1,1.317937842,1.153195612,29200,13140,7,20,BENIGN
6,5559872,30.39638323,1.079161535,1111974.4,2468160.647,5527130,3,5559872,1389968,2758118.942,5527130,3,0,0,0,0,0,0.899301279,0.179860256,380,64,2,32,BENIGN
6,4560043,37.06105403,1.315777066,912008.6,1999695.16,4488962,48,4560043,1140010.75,2232743.4,4488962,48,0,0,0,0,0,1.096480888,0.219296178,364,357,2,32,BENIGN
6,5560356,30.39373738,1.079067599,1112071.2,2455883.337,5505204,3,5560356,1390089,2743451.55,5505204,3,0,0,0,0,0,0.899222999,0.1798446,338,370,2,32,BENIGN
6,4560493,37.05739708,1.315647234,912098.6,1963506.762,4423421,3,4560493,1140123.25,2189485.58,4423421,3,0,0,0,0,0,1.096372695,0.219274539,360,357,2,32,BENIGN
6,5,6200000,600000,2.5,2.121320344,4,1,5,2.5,2.121320344,4,1,0,0,0,0,0,600000,0,64,-1,1,32,BENIGN
6,30,400000,66666.66667,30,0,30,30,0,0,0,0,0,0,0,0,0,0,33333.33333,33333.33333,31752,13140,0,20,BENIGN
6,3,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,370,-1,0,32,BENIGN
6,3,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,357,-1,0,32,BENIGN
6,47,0,42553.19149,47,0,47,47,47,47,0,47,47,0,0,0,0,0,42553.19149,0,357,-1,0,32,BENIGN
6,115595614,21.33298933,0.285477959,3612362.938,4862527.991,10200000,11,116000000,6799742,4805408.34,10200000,129,113000000,8062360.929,4283677.6,10200000,767,0.155715251,0.129762709,29200,287,2,32,BENIGN
6,115595102,10.66654191,0.259526567,3986038,4982487.374,10200000,17,116000000,7706340.133,4391724.69,10200000,201,113000000,8662805.154,3839157.265,10200000,807,0.138414169,0.121112398,29200,285,1,32,BENIGN
6,115595437,10.666511,0.259525815,3986049.552,4982487.238,10200000,48,116000000,7706362.467,4391779.168,10200000,80,113000000,8662827.846,3839237.092,10200000,662,0.138413768,0.121112047,29200,285,1,32,BENIGN
6,116375353,31.78508082,0.309343852,3325010.086,4740777.767,10200000,49,116000000,6125018.579,4962378.633,10200000,63,114000000,7576857.2,4535911.732,10200000,932,0.171857696,0.137486157,29200,290,3,32,BENIGN
6,118216512,38.15033893,0.566756698,1791159.273,5538506.865,29900000,0,118000000,4220710.429,7986810.129,29900000,3,118000000,3194052.324,7146286.708,29900000,0,0.245312601,0.321444097,354,1075,17,32,BENIGN
6,116887026,4898.93549,4.106529325,244023.0188,945237.3357,10000000,-1,117000000,664130.8295,1472461.355,10000000,10,117000000,386943.4967,1178355.92,10000000,0,1.514282689,2.592246637,64240,65535,176,20,BENIGN
6,5365346,179.1124002,1.491050158,766478,1849296.228,4959074,89,406272,135424,47261.4627,177907,84517,5280918,1760306,2807418.002,5000431,51992,0.745525079,0.745525079,8192,60,3,20,BENIGN
6,65,184615.3846,30769.23077,65,0,65,65,65,65,0,65,65,0,0,0,0,0,30769.23077,0,254,-1,1,20,BENIGN
6,5446368,176.447864,1.468868795,778052.5714,1839817.555,4948874,76,497494,165831.3333,88766.5204,260587,84608,5361836,1787278.667,2782503.299,4999594,125468,0.734434397,0.734434397,8192,60,3,20,BENIGN
6,105,114285.7143,19047.61905,105,0,105,105,105,105,0,105,105,0,0,0,0,0,19047.61905,0,254,-1,1,20,BENIGN
6,5949032,2.017134888,0.672378296,1983010.667,3414615.818,5925847,85,5949032,2974516,4173812.327,5925847,23185,0,0,0,0,0,0.504283722,0.168094574,8192,29200,2,20,BENIGN
6,5698543,2.10580143,0.70193381,1899514.333,3216888.482,5613735,35,5698543,2849271.5,3909541.774,5613735,84808,0,0,0,0,0,0.526450358,0.175483453,8192,29200,2,20,BENIGN
6,10230244,640.5516819,1.27074193,852520.3333,2880890.812,9999394,1,230850,46170,84405.14612,195197,1,10200000,1699671.667,4066503.775,9999396,4,0.586496275,0.684245654,29200,64,2,32,BENIGN
6,10213812,641.3863893,1.566506217,680920.8,2578015.512,9998975,2,214837,35806.16667,67997.25918,172158,49,10200000,1272617.625,3526328.856,9999014,2,0.68534647,0.881159747,29200,64,2,32,BENIGN
6,10217930,641.323634,1.565874889,681195.3333,2577925.766,9998871,1,219059,36509.83333,69700.18786,176386,1,10200000,1273126,3526086.45,9998873,2,0.685070264,0.880804625,29200,64,2,32,BENIGN
6,112804256,112.1234291,0.372326377,2751323.317,4079230.341,10100000,18,113000000,4700177.333,4458846.806,10200000,8211,113000000,7044027.5,3694691.24,10200000,792,0.221622844,0.150703534,29200,167,8,32,BENIGN
6,112797497,326.5586647,0.531926697,1911821.983,3661748.176,10200000,1,113000000,4177685.074,4492477.52,10200000,1,113000000,3637861.097,4428369.624,10200000,3,0.248232459,0.283694238,29200,32453,11,32,BENIGN
6,112957967,79.3038352,0.371819723,2755072.366,4093830.56,10200000,26,113000000,4706581.958,4469625.781,10200000,178,113000000,7054574.063,3692992.396,10300000,4607,0.221321264,0.150498459,29200,165,8,32,BENIGN
6,10066255,704.0354134,1.291443541,838854.5833,2884979.963,9999811,1,66444,16611,18961.98989,33729,15,10000000,1433432.143,3777471.959,9999888,1,0.496709054,0.794734487,29200,81,2,32,BENIGN
6,10068122,714.1351684,1.29120406,839010.1667,2884931.748,9999814,1,68308,17077,19609.53113,35622,50,10000000,1433683.571,3777349.973,9999864,1,0.496616946,0.794587114,29200,81,2,32,BENIGN
6,10633904,3554.574124,4.043670133,253188.1905,1541153.748,9999092,4,634812,37341.88235,70045.24062,249122,218,10600000,441735.3333,2036732.805,9999113,4,1.692699125,2.350971007,29200,92,3,32,BENIGN
17,59649,2078.827809,33.5294808,59649,0,59649,59649,0,0,0,0,0,0,0,0,0,0,16.7647404,16.7647404,-1,-1,0,20,BENIGN
6,10216518,693.6805671,1.272449185,851376.5,2881034.754,9998875,1,217643,54410.75,65637.36848,149892,14,10200000,1454911.857,3768180.86,9998955,1,0.489403533,0.783045652,29200,81,2,32,BENIGN
6,112880003,142.8773881,0.460666182,2213333.392,3808481.611,10100000,7,113000000,3892413.897,4421444.809,10200000,211,113000000,5370324.286,4432783.264,10200000,49,0.265768951,0.194897231,29200,162,10,32,BENIGN
6,112626052,87.5108363,0.435068078,2346376.083,3925138.34,10200000,41,113000000,4022359,4475858.629,10200000,225,113000000,5925109.368,4301499.728,10300000,226,0.257489271,0.177578807,29200,143,10,32,BENIGN
6,10298764,375.9674462,0.970990305,1144307.111,3321414.922,9999332,4,299432,99810.66667,108314.2119,224745,32291,10300000,2053314.6,4443352.385,9999390,4,0.388396122,0.582594183,29200,64,1,32,BENIGN
6,115606178,44.10663935,0.34600227,2964260.974,4602575.411,10200000,4,116000000,5780308.9,5069486.392,10200000,4,112000000,6249307.611,5116444.898,10200000,47,0.181651192,0.164351078,29200,23,4,32,BENIGN
6,115597379,11.45354688,0.259521455,3986116.517,4933655.285,10200000,53,116000000,7706491.933,4359229.178,10200000,7901,112000000,8652213.231,3822864.337,10200000,8027,0.138411443,0.121110012,29200,64240,15,20,BENIGN
6,64303069,0.482092076,0.248821716,4286871.267,5049587.711,10200000,3,64300000,8037883.625,4148713.509,10200000,3,61400000,10200000,191.4356289,10200000,10200000,0.139962215,0.108859501,476,1259,1,32,BENIGN
6,75031511,0,0.226571473,4689469.438,5089674.563,10200000,32044,75000000,9378938.875,2435464.401,10200000,3351472,71700000,10200000,113.9222793,10200000,10200000,0.119949604,0.10662187,319,1358,0,32,BENIGN
6,115879418,36.88316764,0.276149126,3738045.742,4901971.098,10200000,5,116000000,7242463.625,4625742.42,10200000,5,113000000,8037706.429,4342151.096,10200000,210,0.146704223,0.129444903,29200,7655,2,32,BENIGN
6,115570726,31.79005728,0.268234016,3852357.533,4883407.488,10100000,51,116000000,7704715.067,4357103.702,10200000,94205,113000000,8052152.357,4317500.747,10200000,335,0.138443363,0.129790653,29200,1024,15,20,BENIGN
6,116010012,76.22617951,0.31893799,3222500.333,4725988.204,10200000,1,116000000,6824118.353,4817418.395,10200000,3,113000000,6258805.556,5129865.03,10200000,1,0.155159022,0.163778968,29200,20272,2,32,BENIGN
6,115666217,24.14706794,0.259367003,3988490.241,4963606.226,10200000,49,116000000,7711081.133,4367735.144,10200000,37282,113000000,8659273.077,3822948.506,10200000,1250,0.138329068,0.121037935,29200,6842,1,32,BENIGN
6,115879062,28.29674269,0.267520288,3862635.4,4878749.036,10100000,25,116000000,7242441.375,4628763.822,10200000,44,113000000,8675821.077,3816743.054,10200000,1042,0.146704674,0.120815614,29200,7074,2,32,BENIGN
6,115415877,27.56986372,0.268593895,3847195.9,4913181.66,10200000,3,115000000,7694391.8,4367809.555,10200000,52997,113000000,8041166.357,4322552.93,10200000,3,0.138629107,0.129964788,29200,188,1,32,BENIGN
6,115277120,25.22616804,0.268917197,3842570.667,4946902.301,10200000,49,115000000,7685141.333,4415281.894,10200000,30159,113000000,8049497.857,4347016.293,10200000,49,0.138795973,0.130121224,29200,136,1,32,BENIGN
6,115214317,82.59390194,0.381896982,2679402.721,4472177,10200000,2,115000000,5486396.048,5114433.291,10200000,49,113000000,5363371.571,5224886.74,10200000,2,0.190948491,0.190948491,29200,140,4,32,BENIGN
6,115977868,24.7719677,0.258670042,3999236.828,4968402.02,10200000,48,116000000,7731857.867,4344796.72,10200000,28443,113000000,8663546.462,3814537.543,10200000,860,0.137957356,0.120712686,29200,1024,15,20,BENIGN
6,115628956,33.78046585,0.268098935,3854298.533,4942189.969,10200000,45,116000000,7226809.75,4643968.504,10200000,45,113000000,8656404.615,3828634.894,10200000,1823,0.147021997,0.121076939,29200,8190,16,20,BENIGN
6,115643029,25.64789271,0.259419009,3987690.655,4965710.639,10200000,54,116000000,7709535.267,4370074.176,10200000,34920,113000000,8657495.385,3826045.115,10200000,2225,0.138356805,0.121062204,29200,132,1,32,BENIGN
6,115214425,30.56040943,0.277743,3716594.355,4912731.599,10200000,31,115000000,7200901.563,4681908.304,10200000,60,113000000,8045032.714,4352407.451,10200000,327,0.147550969,0.130192031,29200,138,2,32,BENIGN
6,48,0,41666.66667,48,0,48,48,48,48,0,48,48,0,0,0,0,0,41666.66667,0,7655,-1,0,32,BENIGN
6,377,0,5305.039788,377,0,377,377,377,377,0,377,377,0,0,0,0,0,5305.039788,0,6842,-1,0,32,BENIGN
6,3,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,7074,-1,0,32,BENIGN
6,114182648,35.12792942,0.28025274,3683311.226,4821636.731,10000000,34,111000000,7368978.267,4591815.075,10000000,121,114000000,7610584.333,4263720.504,10000000,200,0.14012637,0.14012637,29200,939,1,32,BENIGN
17,104781,916.1966387,19.08742997,104781,0,104781,104781,0,0,0,0,0,0,0,0,0,0,9.543714986,9.543714986,-1,-1,0,32,BENIGN
6,115372087,7.185446858,0.260028234,3978347.828,4873022.257,10000000,102,115000000,7691472.467,4168247.561,10000000,161,110000000,8493725.692,3762308.587,10000000,505,0.138681725,0.121346509,8192,946,15,20,BENIGN
6,115750954,334.7618198,0.561550447,1808608.656,3815036.062,10000000,9,116000000,4133962.643,4927340.265,10000000,32,111000000,3158493.114,4726582.085,10000000,48,0.250537892,0.311012555,8192,343,28,20,BENIGN
6,115743108,298.5231743,0.527029221,1929051.8,3914856.088,10000000,8,116000000,4451658,4979733.703,10000000,48,111000000,3349198.667,4804020.313,10000000,48,0.233275229,0.293753992,8192,343,26,20,BENIGN
6,115745818,12.47561273,0.25918863,3991235.103,4880295.117,10000000,79,116000000,7716387.867,4145515.366,10000000,109,110000000,8485228,3759843.667,10000000,3603,0.138233936,0.120954694,8192,946,15,20,BENIGN
6,115758751,82.27455737,0.362823542,2823384.171,4476878.972,10000000,6,116000000,5787937.55,4947382.78,10000000,49,110000000,5521501.25,5117276.139,10000000,66,0.181411771,0.181411771,8192,123,20,20,BENIGN
6,115759087,252.6799473,0.518317841,1962018.424,3942231.244,10000000,3,116000000,4287373.593,4956549.265,10000000,3,110000000,3563258.968,4878536.725,10000000,48,0.241881659,0.276436182,8192,123,27,20,BENIGN
6,115759541,115.0056391,0.380098259,2692082.349,4410449.63,10000000,42,116000000,5512359.095,4983722.299,10000000,48,110000000,5257086.048,5129989.8,10000000,48,0.19004913,0.19004913,8192,123,21,20,BENIGN
6,115891378,65.88065594,0.345150784,2971573.795,4544705.901,10000000,3,116000000,5794568.9,4942977.051,10000000,3,110000000,6138855.111,5023348.482,10000000,4,0.181204162,0.163946623,8192,123,20,20,BENIGN
6,115924889,415.1481223,0.698728295,1449061.113,3489319.369,10000000,2,116000000,3409555.559,4739120.213,10000000,2,110000000,2454900.222,4359134.997,10000000,41,0.301919633,0.396808661,8192,123,34,20,BENIGN
6,240,50000,8333.333333,240,0,240,240,240,240,0,240,240,0,0,0,0,0,8333.333333,0,123,-1,1,20,BENIGN
6,196,61224.4898,10204.08163,196,0,196,196,196,196,0,196,196,0,0,0,0,0,10204.08163,0,123,-1,1,20,BENIGN
6,513,23391.81287,3898.635478,513,0,513,513,513,513,0,513,513,0,0,0,0,0,3898.635478,0,123,-1,1,20,BENIGN
6,3,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,666666.6667,0,123,-1,1,20,BENIGN
6,1485,8080.808081,1346.801347,1485,0,1485,1485,1485,1485,0,1485,1485,0,0,0,0,0,1346.801347,0,123,-1,1,20,BENIGN
6,10,1200000,200000,10,0,10,10,0,0,0,0,0,0,0,0,0,0,100000,100000,254,343,0,20,BENIGN
6,74239881,0,0.228987436,4639992.563,5079970.842,10200000,279006,74200000,9279985.125,3439442.186,10500000,767800,73500000,10500000,74.37933661,10500000,10500000,0.121228643,0.107758793,413,1106,0,32,BENIGN
6,95743844,0,0.21933525,4787192.2,5089125.548,10200000,32058,95700000,9574384.4,2104860.288,10200000,3583847,92200000,10200000,68.10184367,10200000,10200000,0.114889893,0.104445357,1292,5565,0,32,BENIGN
6,116593925,341.4328834,0.660411767,1534130.592,3602443.363,10200000,2,117000000,3151187.162,4689190.541,10200000,4,113000000,2973935.079,4681034.785,10200000,2,0.325917495,0.334494271,29200,972,4,32,BENIGN
6,2343453,2544.535777,17.49555037,58586.325,164048.4264,988343,3,2343453,130191.8333,249246.4323,1038487,3,2292959,109188.5238,219407.1806,988343,3,8.107694074,9.387856296,29200,349,13,32,BENIGN
6,406871,105.6846027,9.831125836,135623.6667,193282.0931,356940,20,49931,49931,0,49931,49931,406851,406851,0,406851,406851,4.915562918,4.915562918,349,307,1,20,BENIGN
6,118499638,363.4441482,0.624474482,1623282.712,9600596.379,58400000,1,118000000,3202692.919,13400000,58500000,1,118000000,3383432.886,13800000,58500000,1,0.320676085,0.303798396,1302,455,4,32,BENIGN
6,115424759,35.9195032,0.277236879,3723379.323,4826195.61,10000000,9,115000000,7214047.438,4479042.609,10000000,59,111000000,7895328.429,4273923.787,10000000,237,0.147282092,0.129954787,29200,939,1,32,BENIGN
6,115475743,74.95946573,0.346393095,2960916.487,4551624.357,10000000,1,115000000,5773787.15,4956115.971,10000000,2,111000000,6143606.167,5032362.875,10000000,50,0.181856375,0.16453672,29200,939,1,32,BENIGN
6,115425204,234.1862874,0.47649905,2137503.778,4078456.718,10000000,1,115000000,4617008.16,5001204.088,10000000,50,111000000,3947686.786,4994079.647,10000000,1,0.225254096,0.251244953,29200,1177,1,32,BENIGN
6,115293933,137.1971585,0.433674164,2352937.408,4213827.036,10000000,1,115000000,5012779.696,5014856.474,10000000,1,111000000,4425114.8,5085215.202,10000000,1,0.208163599,0.225510565,29200,383,4,32,BENIGN
6,74938299,0.413673654,0.240197606,4408135.235,4950205.258,10000000,4,74900000,8326477.667,3604614.188,10000000,4,70300000,10000000,63.07365309,10000000,10000000,0.133443114,0.106754491,882,422,1,32,BENIGN
6,115125413,13.75022212,0.260585384,3969841.828,4886921.768,10000000,16,115000000,7675027.533,4201122.961,10000000,269,111000000,8501760.923,3767577.099,10000000,1060,0.138978872,0.121606513,29200,939,1,32,BENIGN
6,115390016,14.85397142,0.285986614,3605938,4774447.715,10000000,53,115000000,6787648,4658620.167,10000000,2243,111000000,7915675,4234740.454,10000000,18997,0.155992699,0.129993916,29200,351,2,32,BENIGN
6,115376276,17.65527603,0.312022551,3296465.029,4676470.565,10000000,3,115000000,6072435.579,4893657.562,10100000,3,111000000,7374362.733,4588802.547,10100000,691,0.173345862,0.138676689,29200,350,4,32,BENIGN
6,115207489,572.9315045,0.998198997,1010592.009,2983791.21,10000000,2,115000000,2173726.208,4113233.355,10100000,4,111000000,1845018.433,3919504.49,10100000,2,0.468719529,0.529479468,29200,357,4,32,BENIGN
6,217,0,9216.589862,217,0,217,217,217,217,0,217,217,0,0,0,0,0,9216.589862,0,383,-1,0,32,BENIGN
6,115565137,9.916485454,0.268246989,3852171.233,4841318.936,10000000,4,116000000,7704342.467,4176253.866,10100000,178,111000000,7899200.071,4270456.827,10100000,372,0.138450059,0.12979693,8192,119,15,20,BENIGN
6,115245171,8.191232585,0.260314595,3973971.414,4867716.273,10000000,7,115000000,7683011.4,4172187.937,10000000,36929,111000000,8502629.231,3750941.256,10000000,17998,0.138834451,0.121480144,8192,344,15,20,BENIGN
6,117640924,10.73605984,0.255013298,4056583.586,4818401.451,10000000,12,118000000,7842728.267,3896224.181,10000000,37594,113000000,8688128.077,3338421.698,10000000,21505,0.136007092,0.119006206,8192,343,15,20,BENIGN
6,115589417,177.5595079,0.441216863,2311788.34,4187999.283,10000000,7,116000000,4623576.68,4999466.444,10100000,49,111000000,4609449.208,5109578.322,10100000,49,0.224934087,0.216282776,29200,340,1,32,BENIGN
6,75394885,0,0.225479487,4712180.313,4989972.337,10000000,23534,75400000,9424360.625,1763916.1,10000000,5058891,70300000,10000000,209.5613332,10000000,10000000,0.119371493,0.106107994,253,287,0,32,BENIGN
6,115347371,93.94232314,0.329439671,3117496.514,4618761.683,10000000,23,115000000,6408187.278,4810904.528,10000000,168,111000000,6139583.333,5036515.9,10000000,91,0.164719836,0.164719836,29200,939,1,32,BENIGN
6,84930927,0,0.223711205,4718384.833,4992287.914,10000000,23124,84900000,9436769.667,1833709,10000000,4546879,80400000,10000000,97.3028226,10000000,10000000,0.117742739,0.105968465,1085,1039,0,32,BENIGN
6,75394953,0.411168106,0.238742771,4434997.235,4952850.797,10000000,3,75400000,8377217,3548408.099,10000000,3,70300000,10000000,159.1748066,10000000,10000000,0.132634873,0.106107898,377,379,1,32,BENIGN
6,115347535,24.75995694,0.277422487,3720888.226,4825215.034,10000000,35,115000000,7209220.938,4480215.702,10000000,202,111000000,7893747.714,4273281.644,10000000,195,0.147380696,0.130041791,29200,939,1,32,BENIGN
6,115455603,217.2176954,0.502357603,2025536.895,3989973.876,10000000,1,115000000,4440600.115,4981230.798,10100000,1,111000000,3688383.567,4921944.746,10100000,2,0.233856126,0.268501478,29200,357,4,32,BENIGN
6,115664797,6.060616697,0.259370187,3988441.276,4882622.992,10000000,47,116000000,7710986.467,4172076.177,10000000,11223,111000000,8503171.154,3764067.035,10000000,689,0.138330766,0.12103942,29200,939,1,32,BENIGN
6,116390925,189.1384573,0.515504108,1972727.542,3943840.218,10000000,1,116000000,3879697.5,4870250.659,10100000,3,111000000,3960122.107,4986868.037,10100000,1,0.266343789,0.249160319,29200,423,7,32,BENIGN
6,115730596,51.26561346,0.345630295,2967451.179,4541311.019,10000000,1,116000000,5786529.8,4947656.984,10000000,1,111000000,6150170,5025827.447,10000000,3,0.181455905,0.16417439,29200,357,4,32,BENIGN
6,85443695,0,0.22236866,4746871.944,4978900.062,10000000,36875,85400000,9493743.889,1662770.208,10000000,5059690,80400000,10000000,188.6417144,10000000,10000000,0.117036137,0.105332523,798,426,0,32,BENIGN
6,75587753,0.410119348,0.238133815,4446338.412,4954496.537,10000000,3,75600000,8398639.222,3526382.162,10000000,3,70300000,10000000,214.9299997,10000000,10000000,0.132296564,0.105837251,357,381,1,32,BENIGN
6,115810470,524.9611715,0.93255817,1082340.841,3067684.253,10000000,1,116000000,2316209.4,4195105.902,10100000,1,111000000,1987411.304,4022184.291,10100000,1,0.440374692,0.492183479,29200,358,5,32,BENIGN
6,85443821,0,0.222368333,4746878.944,4978328.017,10000000,37415,85400000,9493757.889,1662737.583,10000000,5059791,80400000,10000000,237.1945781,10000000,10000000,0.117035964,0.105332368,310,390,0,32,BENIGN
6,116377903,14.7278818,0.283558985,3636809.469,4781838.085,10000000,44,116000000,6845759,4631072.329,10100000,376,111000000,7921568.286,4225459.683,10100000,19085,0.154668537,0.128890448,29200,351,2,32,BENIGN
6,84931891,0,0.223708666,4718438.389,4992332.038,10000000,23096,84900000,9436876.778,1833383.542,10000000,4547854,80400000,10000000,119.0135046,10000000,10000000,0.117741403,0.105967263,949,1073,0,32,BENIGN
6,84963912,0.364860789,0.235394058,4471784.842,4958636.001,10000000,1,85000000,8496391.2,3444602.884,10000000,1,80400000,10000000,122.8750817,10000000,10000000,0.129466732,0.105927326,254,361,1,32,BENIGN
6,115237957,11.83637784,0.260330891,3973722.655,4875454.306,10000000,63,115000000,7682530.467,4189953.699,10000000,30314,111000000,8507202.231,3757392.336,10000000,15239,0.138843142,0.121487749,29200,340,1,32,BENIGN
6,74852103,0,0.227114527,4678256.438,4989569.278,10000000,23506,74900000,9356512.875,1955851.245,10000000,4516028,70300000,10000000,42.55360765,10000000,10000000,0.120237103,0.106877425,266,290,0,32,BENIGN
